,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
414,@msunewsru,0,0,5,2,4,1,0,1,5,0,0
415,@yakutia_24,2,1,5,3,5,2,0,0,0,0,0
416,@bromtula_,0,0,1,2,3,3,4,1,3,1,0
417,@KHABIBULLINkiev,1,1,3,2,3,1,0,1,1,0,0
418,@KriminalNewsDe,3,3,3,6,2,0,0,0,0,0,6
419,@diastyle_ru,2,2,0,5,1,1,0,2,1,1,6
420,@IstanbulNatalia,3,0,0,0,0,0,0,0,0,0,2
421,@Mr_X___ACR,3,5,0,2,1,0,1,0,0,0,0
422,@A1fGordon,2,1,8,1,0,0,0,0,0,0,3
423,@RIA_Worldnews,6,3,1,2,0,0,2,0,2,1,2
